,disposition,period,time0bk,impact,duration,depth,prad,teq,insol,model_snr,steff,slogg,srad,ra,dec,kepmag
5798,0,471.65421,421.64532,0.85,3.4560000000000004,479.7,4.11,313.0,2.26,12.5,6061.0,4.025,1.653,295.87747,42.983631,13.681
5799,0,1.221204888,133.61014,0.6,1.8511,111.6,1.1,1772.0,2334.4,27.3,5874.0,4.378,0.997,298.84198,41.631531,14.135
5801,0,0.959853772,131.85197,0.6459999999999999,1.9163,55.8,1.3,2468.0,8768.54,27.1,6061.0,4.025,1.653,298.55786,41.82563,11.787
5802,0,0.592243731,131.654831,0.986,1.386,3992.4,6.77,1551.0,1361.22,303.8,4920.0,4.664,0.591,290.28094,45.46426,15.653
5804,0,20.7191626,143.30626,0.016,3.912,184.4,1.85,790.0,92.2,8.9,5837.0,4.143,1.3659999999999999,281.27295,47.774399,11.413
5806,0,16.60973843,147.6085,1.0412,4.515,667.8,6.64,579.0,26.59,29.7,5238.0,4.603,0.752,300.4472,43.929539,14.659
5808,0,5.803127152999999,136.101253,0.006,4.9041,58570.0,19.04,886.0,145.32,639.3,5533.0,4.577,0.795,296.49356,44.052319,15.896
5809,0,35.51619219,165.930432,8.467,2.5,10984.0,719.49,504.0,15.2,85.4,5514.0,4.505,0.871,287.8569,44.102798,12.481
5810,0,0.589049151,132.17927020000002,1.094,2.2539700000000003,61953.0,39.51,1959.0,3495.15,1227.6,5592.0,4.51,0.7709999999999999,296.60672,44.472919,13.643
5813,0,1.791406261,132.99503,1.008,2.8159,345.5,4.51,1579.0,1466.9,60.7,6092.0,4.453,1.028,288.51645,41.381962,14.574000000000002
5814,0,1.25483232,132.18633,0.547,2.67,117.6,2.89,2748.0,13493.55,11.4,6168.0,3.75,2.572,297.13702,39.891842,13.298
5815,0,5.71483873,132.13046,0.134,2.748,286.2,1.26,842.0,118.73,18.0,5193.0,4.535,0.755,299.78946,44.171001,14.167
5816,0,17.5859472,138.7798,0.042,3.815,509.5,2.24,700.0,56.81,8.4,5780.0,4.438,1.0,294.85565,42.790672,13.7
5817,0,1.332567005,132.0492,1.185,6.3373,401.3,27.36,2007.0,3837.83,110.6,6388.0,4.284,1.2229999999999999,292.60968,45.708881,13.406
5818,1,10.32736351,139.37228000000002,0.754,1.889,126.9,1.25,838.0,116.56,9.7,5757.0,4.431,1.0170000000000001,291.77164,47.5299,14.5
5819,0,2.54557259,132.69874,0.038,5.636,529.0,1.97,1234.0,549.8,36.0,5718.0,4.549,0.863,298.8461,43.403519,15.298
5820,0,0.704541784,132.18236000000002,0.415,1.0726,275.2,1.72,2121.0,4778.23,38.4,6063.0,4.476,1.012,288.08798,43.208172,15.192
5821,0,0.697996932,132.13605900000002,1.244,4.3323,9094.6,28.06,1604.0,1560.69,244.1,5176.0,4.636,0.695,299.33234,40.69503,15.859000000000002
5822,0,110.9215892,174.22374,0.905,5.282,498.0,3.71,443.0,9.12,48.2,5725.0,4.148,1.3840000000000001,285.90607,49.28752100000001,12.037
5823,0,3.88673217,136.94489,1.2229999999999999,20.491,761.7,21.04,1050.0,287.4,119.0,5798.0,4.589,0.767,294.3421600000001,39.562359,14.197
5824,1,1.544928892,133.5487914,0.9179999999999999,1.43586,5817.3,13.43,1997.0,3765.46,1109.7,6309.0,4.199,1.412,294.19211,39.618999,13.308
5825,0,11.76921923,138.41222,0.9640000000000001,3.219,519.3,3.12,868.0,134.04,27.4,6215.0,4.44,1.052,292.79404,40.074581,14.986
5826,0,44.638983058,156.45087,1.173,3.04001,36830.0,50.33,551.0,21.86,488.5,6197.0,4.449,1.035,293.02615,40.073051,15.51
5829,0,1.926888595,131.63323,0.589,1.235,130.0,1.31,1619.0,1622.18,11.7,6268.0,4.4289999999999985,1.1,297.53055,48.38747,14.809
5830,1,34.1420506,136.03624,0.105,2.945,788.0,1.06,248.0,0.89,13.3,3526.0,4.8660000000000005,0.38299999999999995,286.54001,49.437328,15.921
5832,0,0.865759153,131.57771,0.38,0.8408,191.6,1.53,2100.0,4616.69,18.7,6249.0,4.428,1.0759999999999998,289.2501200000001,41.48487100000001,15.232
5834,1,8.68910764,133.23559,0.049,1.1627,1679.0,0.49,211.0,0.47,9.6,2703.0,5.274,0.11800000000000001,292.50378,41.830421,17.131
5838,1,8.71980135,139.52133999999998,0.34299999999999997,3.7454,160.4,1.53,987.0,224.47,22.7,5970.0,4.317,1.2,284.4335,49.305161,13.804
5839,1,7.00821787,137.67164,0.156,3.812,116.4,1.29,1062.0,300.58,19.2,5970.0,4.317,1.2,284.4335,49.305161,13.804
5840,0,0.903583394,131.877566,1.242,1.5942,1027.1,33.18,2162.0,5162.98,151.7,6455.0,4.41,1.101,288.17081,43.501202,14.811
5841,0,0.99014722,132.02928,0.32899999999999996,0.9394,321.1,1.34,1433.0,997.75,23.0,5072.0,4.606,0.747,289.20413,46.133911,15.896
5843,0,0.77359329,132.09232,0.38799999999999996,1.7603,80.6,0.82,1890.0,3022.82,21.7,5747.0,4.508,0.907,296.2369700000001,43.014149,14.615
5844,0,0.306937807,131.635518,0.005,0.5925,119.2,0.82,2142.0,5019.53,29.3,5088.0,4.58,0.741,287.73572,42.823421,14.409
5846,0,0.6374873120000001,131.97829,0.81,1.9626,211.3,1.75,2334.0,7053.67,25.0,6173.0,4.39,1.083,285.5463,48.410851,15.315
5860,0,4.30908594,134.70803999999998,0.871,1.52,160.8,1.62,1172.0,445.13,17.0,5754.0,4.348,1.097,294.29269,46.159409,14.562
5862,0,0.422015793,131.747838,1.0170000000000001,1.23416,1291.9,6.69,2136.0,4962.18,304.4,5614.0,4.587,0.777,286.92056,41.371151,14.403
5863,0,0.945825494,131.62223,0.522,1.8496,104.7,1.14,1989.0,3715.61,22.1,6116.0,4.44,1.084,292.01581,42.286572,14.762
5864,0,0.676715927,131.7606,0.652,0.63,264.5,1.29,1735.0,2135.8,14.5,5334.0,4.56,0.733,294.34518,39.683929,15.713
5866,0,0.576441813,131.68331,0.061,2.0269999999999997,60.8,0.82,2471.0,8812.63,21.2,6459.0,4.425,1.038,289.82767,38.442619,13.883
5868,0,0.692693892,131.804922,1.265,1.2804,1433.7,32.44,2050.0,4160.84,146.7,5907.0,4.49,0.9640000000000001,295.56525,49.07313900000001,15.417
5869,0,0.768934934,131.740302,0.9890000000000001,1.216,846.8,4.09,1713.0,2026.85,58.9,5390.0,4.535,0.777,289.92453,49.882469,15.503
5871,1,0.764863517,132.13343,0.235,1.16,150.2,1.04,1733.0,2145.14,13.6,5231.0,4.476,0.86,290.08478,51.208599,15.168
5872,0,0.710894157,132.05192,0.134,1.0183,122.6,1.16,2098.0,4599.89,18.9,5862.0,4.424,1.0490000000000002,297.94925,47.816399,14.55
